test 0,,,,,,,
test 1,,,,,,,
test 2,,,,,,,
test 3,,,,,,,
test 4,,,,,,,
test 5,,,,,,,
test 6,,,,,,,
test 7,,,,,,,
       Space  Time(vis)    Time(s)     solved |     failed,,,,,,,
0,2.33,2.01,0.309,22,78,,0.000309
1,4.46,3.87,0.412,22,78,,0.000412
2,3.02,5.84,0.193,22,78,,0.000193
3,1.21,1.97,0.098,21,79,,0.000098
4,1.22,1.98,0.086,22,78,,0.000086
5,1.3,2.23,0.485,22,78,,0.000485
6,1.3,2.22,0.435,22,78,,0.000435
7,1.03,1.48,0.084,21,79,,0.000084
,,,0,,,,
0,7.52,3.53,0.597,82,18,,0.000597
1,10.41,5.01,0.626,82,18,,0.000626
2,11.09,14.75,0.481,82,18,,0.000481
3,4.42,3.39,0.2,65,35,,0.0002
4,4.18,3.16,0.176,75,25,,0.000176
5,4.54,4.17,1.166,82,18,,0.001166
6,4.29,3.76,1.013,82,18,,0.001013
7,3.16,2.27,0.124,57,43,,0.000124
,,,0,,,,
0,2.52,2.12,0.349,21,79,,0.000349
1,4.66,3.97,0.43,21,79,,0.00043
2,3.82,6.71,0.222,21,79,,0.000222
3,1.26,1.97,0.103,19,81,,0.000103
4,1.31,1.99,0.093,21,79,,0.000093
5,1.44,2.35,0.527,21,79,,0.000527
6,1.43,2.33,0.473,21,79,,0.000473
7,1.05,1.47,0.082,19,81,,0.000082
,,,0,,,,
0,13.92,5.65,0.922,80,20,,0.000922
1,20.57,9.09,0.952,80,20,,0.000952
2,24.1,28.49,0.992,80,20,,0.000992
3,6.42,4.08,0.254,59,41,,0.000254
4,5.9,3.59,0.206,69,31,,0.000206
5,7.13,5.76,1.844,80,20,,0.001844
6,6.32,4.73,1.442,80,20,,0.001442
7,4.42,2.56,0.145,53,47,,0.000145
